"Auditor General for Local Government Amendment Act, 2015 (Bill 36)",Budget,Budget,"Budget Measures Implementation Act, 2015 (Bill 10)","Education Statutes Amendment Act, 2015 (Bill 11)","Education Statutes Amendment Act, 2015 (Bill 11)","Education Statutes Amendment Act, 2015 (Bill 11)","Education Statutes Amendment Act, 2015 (Bill 11)","Education Statutes Amendment Act, 2015 (Bill 11)","Election Amendment Act, 2015 (Bill 20)","Election Amendment Act, 2015 (Bill 20)","Election Amendment Act, 2015 (Bill 20)","Election Amendment Act, 2015 (Bill 20)","Election Amendment Act, 2015 (Bill 20)","Election Amendment Act, 2015 (Bill 20)","Election Amendment Act, 2015 (Bill 20)",Federal Port Development Act (Bill 12),Federal Port Development Act (Bill 12),Federal Port Development Act (Bill 12),Federal Port Development Act (Bill 12),"Forests, Lands and Natural Resource Operations Statutes Amendment Act, 2015 (Bill 25)",Franchises Act (Bill 38),Guide Dog and Service Dog Act (Bill 17)
2R,amdt. to motion (moved by Ralston),motion,2R,amdt. to 2R (moved by Hammell),2R,sec. 16,motion that committee rise and report bill complete without amendment,3R,2R,amdt. to sec. 3 (moved by Holman),subamdt. to sec. 6 (moved by Holman),amdt. to sec. 6 (moved by Anton),sec. 6,amdt. to 3R (moved by Weaver),3R,amdt. to 2R (moved by Weaver),amdts. to sec. 1 (moved by Weaver),amdts. to sec. 1 (moved by Weaver),amdt. to sec. 2 (moved by Weaver),amdt. to sec. 8 (moved by Bains),2R,amdt. to sec. 5 (moved by Farnworth)
divided,divided,divided,unanimous,divided,divided,divided,divided,divided,divided,divided,divided,divided,divided,divided,divided,divided,divided,divided,divided,divided,unanimous,divided
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Lee Yes,Robinson Yes,Horne Yes,,Hammell Yes,Horne Yes,Horne Yes,Horne Yes,Horne Yes,Horne Yes,Hammell Yes,Hammell Yes,Horne Yes,Horne Yes,Hammell Yes,Horne Yes,Huntington Yes,Weaver Yes,Weaver Yes,Hammell Yes,Hammell Yes,,Simpson Yes
Hogg Yes,James Yes,Hogg Yes,,Farnworth Yes,Hogg Yes,Yamamoto Yes,Hogg Yes,Hogg Yes,Yamamoto Yes,James Yes,Horgan Yes,Hogg Yes,Hogg Yes,Horgan Yes,Yamamoto Yes,Weaver Yes, ,Huntington Yes,James Yes,Horgan Yes,,James Yes
Stone Yes,Corrigan Yes,Stone Yes,,Dix Yes,Stone Yes,Fassbender Yes,Stone Yes,Fassbender Yes,Oakes Yes,Corrigan Yes,Ralston Yes,Stone Yes,Stone Yes,Ralston Yes,Fassbender Yes, ,Horne No,,Popham Yes,Ralston Yes,,Kwan Yes
Wat Yes,Austin Yes,Wat Yes,,Fleming Yes,Wat Yes,Virk Yes,Wat Yes,Thomson Yes,Virk Yes,Conroy Yes,Kwan Yes,Thomson Yes,Thomson Yes,Popham Yes,Virk Yes,Horne No,Hogg No,Horne No,Huntington Yes,Popham Yes,,Huntington Yes
Wilkinson Yes,Macdonald Yes,Wilkinson Yes,,Conroy Yes,Rustad Yes,Pimm Yes,Wilkinson Yes,Pimm Yes,Sultan Yes,Huntington Yes,Chandra Herbert Yes,Wilkinson Yes,Wilkinson Yes,Austin Yes,Pimm Yes,Hogg No,Stone No,Hogg No,Bains Yes,Austin Yes,,Eby Yes
Hamilton Yes,Shin Yes,Hamilton Yes,,Huntington Yes,Sultan Yes,Reimer Yes,Reimer Yes,Morris Yes,Ashton Yes,Bains Yes,Eby Yes,Hamilton Yes,Hamilton Yes,Macdonald Yes,Reimer Yes,Stone No,Thomson No,Stone No,Krog Yes,Karagianis Yes,,Shin Yes
Morris Yes,Donaldson Yes,Morris Yes,,Eby Yes,Morris Yes,Hunt Yes,Cadieux Yes,Lake Yes,Sullivan Yes,Heyman Yes,Elmore Yes,Morris Yes,Morris Yes,Mungall Yes,Hunt Yes,Wat No,Wilkinson No,Thomson No,Fraser Yes,Bains Yes,,Donaldson Yes
Cadieux Yes,D. Routley Yes,Lake Yes,,Shin Yes,Lake Yes,Lake Yes,de Jong Yes,Clark Yes,de Jong Yes,Trevena Yes,Darcy Yes,Cadieux Yes,Cadieux Yes,Shin Yes,Lake Yes,Rustad No,Hamilton No,Wilkinson No,Simpson Yes,Heyman Yes,,D. Routley Yes
Anton Yes,Weaver Yes,Clark Yes,,Donaldson Yes,Coleman Yes,Coleman Yes,Anton Yes,Bond Yes,Bond Yes,Fraser Yes,Trevena Yes,de Jong Yes,de Jong Yes,Donaldson Yes,Coleman Yes,Sultan No,Morris No,Hamilton No,Ralston Yes,Krog Yes,,Weaver Yes
Letnick Yes,Farnworth Yes,Bond Yes,,D. Routley Yes,Letnick Yes,Letnick Yes,Letnick Yes,Barnett Yes,Barnett Yes,Holman Yes,Chouhan Yes,Bennett Yes,Bennett Yes,D. Routley Yes,Bennett Yes,Ashton No,Lake No,Morris No,Kwan Yes,Simons Yes,,Holman Yes
Thornthwaite Yes,Dix Yes,Barnett Yes,,Weaver Yes,Thornthwaite Yes,Thornthwaite Yes,Thornthwaite Yes,McRae Yes,McRae Yes,Robinson Yes,Simpson Yes,Yap Yes,Yap Yes,Weaver Yes,Yap Yes,Sullivan No,Coleman No,Lake No,Karagianis Yes,Simpson Yes,,Robinson Yes
Kyllo Yes,Kwan Yes,Plecas Yes,,Holman Yes,Lee Yes,Lee Yes,Lee Yes,Kyllo Yes,Kyllo Yes,Dix Yes,James Yes,Plecas Yes,Plecas Yes,Holman Yes,Plecas Yes,Polak No,Letnick No,Coleman No,Darcy Yes,James Yes,,Dix Yes
Martin Yes,Chandra Herbert Yes,Tegart Yes,,Simpson Yes,Throness Yes,Throness Yes,Throness Yes,Bernier Yes,Larson Yes,Fleming Yes,Corrigan Yes,Throness Yes,Throness Yes,Simpson Yes,Larson Yes,Bond No,Plecas No,Letnick No,Trevena Yes,Corrigan Yes,,Austin Yes
Dalton Yes,Karagianis Yes,Bernier Yes,,Horgan Yes,Foster Yes,Foster Yes,Foster Yes,Martin Yes,Martin Yes,Austin Yes,Conroy Yes,Foster Yes,Foster Yes,James Yes,Martin Yes,McRae No,Tegart No,Plecas No,Weaver Yes,Kwan Yes,,Macdonald Yes
Sturdy Yes,Heyman Yes,Dalton Yes,,Ralston Yes,Gibson Yes,Gibson Yes,Sturdy Yes,Sturdy Yes,Bing Yes,Karagianis Yes,Macdonald Yes,Sturdy Yes,Sturdy Yes,Corrigan Yes,Sturdy Yes,Kyllo No,Simpson No,Tegart No,B. Routley Yes,Huntington Yes,,Mungall Yes
Yamamoto Yes,Krog Yes,Sturdy Yes,,Popham Yes,Sturdy Yes,Bing Yes,Yamamoto Yes,Yamamoto Yes,Stone Yes,Elmore Yes,Mungall Yes,Yamamoto Yes,Yamamoto Yes,Kwan Yes,Michelle Stilwell Yes,Hammell No,Ralston No,Simpson No,Farnworth Yes,Eby Yes,,Heyman Yes
Fassbender Yes,Simons Yes,Yamamoto Yes,,Austin Yes,Yamamoto Yes,Michelle Stilwell Yes,Fassbender Yes,Oakes Yes,Wat Yes,Darcy Yes,Shin Yes,Fassbender Yes,Fassbender Yes,Chandra Herbert Yes,Oakes Yes,Farnworth No,Kwan No,Ralston No,Fleming Yes,Elmore Yes,,Krog Yes
Virk Yes,Chouhan Yes,Fassbender Yes,,Macdonald Yes,Fassbender Yes,Wat Yes,Thomson Yes,Rustad Yes,Wilkinson Yes,D. Routley Yes,Donaldson Yes,Virk Yes,Virk Yes,Karagianis Yes,Rustad Yes,Ralston No,Bernier No,Kwan No,Austin Yes,Darcy Yes,,Simons Yes
Pimm Yes,B. Routley Yes,Thomson Yes,,Mungall Yes,Thomson Yes,Rustad Yes,Pimm Yes,Hamilton Yes,Hamilton Yes,Weaver Yes,Simons Yes,Pimm Yes,Pimm Yes,Bains Yes,Sultan Yes,Popham No,Karagianis No,Bernier No,Mungall Yes,Trevena Yes,,Chouhan Yes
Reimer Yes,Horgan Yes,Pimm Yes,,Heyman Yes,Wilkinson Yes,Sultan Yes,Morris Yes,Hunt Yes,Morris Yes,Farnworth Yes,Rice Yes,Reimer Yes,Reimer Yes,Heyman Yes,Ashton Yes,Austin No,Heyman No,Karagianis No,Donaldson Yes,Fraser Yes,,Farnworth Yes
Hunt Yes,Ralston Yes,Reimer Yes,,Krog Yes,Hamilton Yes,Ashton Yes,Lake Yes,Polak Yes,Cadieux Yes,Ralston Yes,B. Routley Yes,Hunt Yes,Hunt Yes,Krog Yes,Sullivan Yes,Larson No,Krog No,Heyman No,D. Routley Yes,B. Routley Yes,,Popham Yes
de Jong Yes,Conroy Yes,Hunt Yes,,Simons Yes,Hunt Yes,Sullivan Yes,Clark Yes,Coleman Yes,Coleman Yes,Popham Yes,Robinson Yes,Lake Yes,Lake Yes,Simons Yes,Polak Yes,Karagianis No,Martin No,Krog No,Holman Yes,Robinson Yes,,Chandra Herbert Yes
Bond Yes,Huntington Yes,Polak Yes,,Chouhan Yes,Polak Yes,Polak Yes,Bond Yes,Bennett Yes,Bennett Yes,Chandra Herbert Yes,Dix Yes,Coleman Yes,Coleman Yes,Chouhan Yes,Anton Yes,Bains No,Holman No,Martin No, ,Dix Yes,,Karagianis Yes
Bernier Yes,Bains Yes,Coleman Yes,,Robinson Yes,Anton Yes,Anton Yes,Barnett Yes,Yap Yes,Yap Yes,Eby Yes,Fleming Yes,Letnick Yes,Letnick Yes,Robinson Yes,Letnick Yes,Donaldson No,Sturdy No,Holman No,Horne No,Fleming Yes,,Elmore Yes
McRae Yes,Darcy Yes,Bennett Yes,,James Yes,Barnett Yes,Barnett Yes,McRae Yes,Plecas Yes,Plecas Yes,Shin Yes,Austin Yes,Thornthwaite Yes,Thornthwaite Yes,Dix Yes,Thornthwaite Yes,Simons No,Yamamoto No,Sturdy No,Hogg No,Conroy Yes,,Darcy Yes
Tegart Yes,Trevena Yes,Thornthwaite Yes,,Corrigan Yes,McRae Yes,McRae Yes,Kyllo Yes,Tegart Yes,Throness Yes,Krog Yes,Karagianis Yes,Kyllo Yes,Kyllo Yes,Fleming Yes,Kyllo Yes,Martin No,Fassbender No,Yamamoto No,Stone No,Macdonald Yes,,Trevena Yes
Foster Yes,Fraser Yes,Lee Yes,,Kwan Yes,Kyllo Yes,Kyllo Yes,Bernier Yes,Larson Yes,Foster Yes,Simons Yes,Bains Yes,Bernier Yes,Bernier Yes,Conroy Yes,Foster Yes,Chouhan No,Virk No,Fassbender No,Thomson No,Mungall Yes,,Fraser Yes
Bing Yes,Holman Yes,Throness Yes,,Chandra Herbert Yes,Bernier Yes,Bernier Yes,Martin Yes,Gibson Yes,Gibson Yes,Rice Yes,Heyman Yes,Martin Yes,Martin Yes,Huntington Yes,Bing Yes,Sturdy No,Pimm No,Virk No,Wilkinson No,Shin Yes,,Rice Yes
Michelle Stilwell Yes, ,Larson Yes,,Karagianis Yes,Dalton Yes,Dalton Yes,Moira Stilwell Yes,Bing Yes,Hogg Yes,B. Routley Yes,Krog Yes,Bing Yes,Moira Stilwell Yes,Eby Yes,Stone Yes,Yamamoto No,Reimer No,Pimm No,Hamilton No,Donaldson Yes,,B. Routley Yes
